tarih,fonKodu,akis_oran_pct
2026-08-31,AAL,-13.563146458649697
2026-08-31,AAS,-2.902457859805148
2026-08-31,AAV,-7.349609297466508
2026-08-31,ABG,0.404922449628889
2026-08-31,ABJ,0.0
2026-08-31,ABU,0.0
2026-08-31,AC1,-2.207808724850872
2026-08-31,AC2,221.77365874890356
2026-08-31,AC3,0.0
2026-08-31,AC4,12.514260175354577
2026-08-31,AC5,1.7354259821615294
2026-08-31,AC6,0.3173914188495777
2026-08-31,AC7,-7.923483256245042
2026-08-31,AC8,-0.2067282605812638
2026-08-31,ACC,-37.18614831097537
2026-08-31,ACD,0.15834284082432606
2026-08-31,ACN,0.0
2026-08-31,ACU,-0.5979803903717428
2026-08-31,ADE,-4.412027486037619
2026-08-31,ADP,-9.18572964096099
2026-08-31,AED,1.023297098620219
2026-08-31,AES,-6.159410602847217
2026-08-31,AEV,-0.268548220764991
2026-08-31,AFA,0.81187417279665
2026-08-31,AFO,-1.86497708272074
2026-08-31,AFS,2.9316755463825985
2026-08-31,AFT,-2.2702750577322846
2026-08-31,AFV,1.6234483445521097
2026-08-31,AGC,-14.833665188758705
2026-08-31,AHH,0.0
2026-08-31,AHI,1.884777208415053
2026-08-31,AHN,-3.8436977739775067
2026-08-31,AHU,-29.822156657094485
2026-08-31,AHV,1.5644344109980663
2026-08-31,AHZ,5.729878327326615e-05
2026-08-31,AI1,1.1750896881836506e-06
2026-08-31,AIH,-1.6074897894753397
2026-08-31,AII,0.0
2026-08-31,AIM,0.0
2026-08-31,AIR,-0.5497321613702261
2026-08-31,AIS,5.5262151915789435
2026-08-31,AJ1,-28.35421704013256
2026-08-31,AJE,-6.789385683552409
2026-08-31,AJK,5.068904403279665
2026-08-31,AJL,-6.591839284187379
2026-08-31,AJN,-4.476867653835018
2026-08-31,AK2,44.83184024321831
2026-08-31,AK3,4.015409611762832
2026-08-31,AKE,0.3898259883914794
2026-08-31,AKU,-4.623453292356876
2026-08-31,AL4,0.0
2026-08-31,AL5,-2.2724642451517556
2026-08-31,AL6,0.0
2026-08-31,AL7,15.713529553872519
2026-08-31,ALC,-1.5478826689970762
2026-08-31,ALE,-0.07146381054267555
2026-08-31,AN1,0.8751881819762681
2026-08-31,ANL,11.472051300710852
2026-08-31,ANZ,-1.9484213825723555
2026-08-31,AOJ,-0.7657368795323544
2026-08-31,AOY,-8.039198266865483
2026-08-31,AP2,-3.063663628653272
2026-08-31,AP4,0.0
2026-08-31,AP5,3.355526765477592
2026-08-31,AP6,-1.7799893340105483e-05
2026-08-31,AP7,-4.219204737565816
2026-08-31,APJ,-2.9181317209469637
2026-08-31,APP,0.0
2026-08-31,APT,36.20892306535175
2026-08-31,ARE,13.754171252772665
2026-08-31,ARF,0.0
2026-08-31,ARL,-1.3975372411617328
2026-08-31,ARM,-5.248093134792441
2026-08-31,ARP,0.0
2026-08-31,AS1,-9.361761361534825
2026-08-31,AS3,0.0
2026-08-31,ASJ,-2.869682854685375
2026-08-31,ATJ,-0.010091969090862156
2026-08-31,AU1,26.218019988267233
2026-08-31,AUV,-36.03589643574184
2026-08-31,AVC,0.0
2026-08-31,AVT,17.393966498753972
2026-08-31,AVZ,0.0
2026-08-31,AY6,0.0
2026-08-31,AY7,0.0
2026-08-31,AYA,-2.692830361869888
2026-08-31,AYR,0.9965313633566725
2026-08-31,AZF,0.0
2026-08-31,AZJ,30.426606619623485
2026-08-31,AZV,-0.11007252667999354
2026-08-31,AZZ,0.0
2026-08-31,BA1,0.37727729323004044
2026-08-31,BAC,2.869610970989303
2026-08-31,BAG,-2.370190814477017
2026-08-31,BAI,41.271719086814194
2026-08-31,BAL,0.0
2026-08-31,BAO,0.0
2026-08-31,BAS,0.0
2026-08-31,BBF,2.2359804108822146
2026-08-31,BBI,0.0
2026-08-31,BBN,0.0
2026-08-31,BBO,0.0
2026-08-31,BBP,-3.899766504020002
2026-08-31,BBS,89.74771698479003
2026-08-31,BCC,-0.03533534146443131
2026-08-31,BCK,-14.626731885963776
2026-08-31,BCO,158.46037693469677
2026-08-31,BDA,26.79527858696521
2026-08-31,BDC,-6.690249276822077
2026-08-31,BDI,-1.7687345389831906e-09
2026-08-31,BDO,-37.41685087698642
2026-08-31,BDS,-18.977175790014954
2026-08-31,BDY,-3.3739019350285537
2026-08-31,BFE,6.852264900790968
2026-08-31,BFO,0.0
2026-08-31,BFS,45.54797381805471
2026-08-31,BFT,-30.84181017200604
2026-08-31,BGH,0.0
2026-08-31,BGP,-6.223962732938875
2026-08-31,BGR,7.957018660835725
2026-08-31,BHA,0.2516712074588415
2026-08-31,BHE,-0.7498797857132112
2026-08-31,BHF,-5.496214090964128
2026-08-31,BHH,-9.504035314750092e-07
2026-08-31,BHI,23.64600679395305
2026-08-31,BHL,22.578925582988123
2026-08-31,BHN,-0.5499482971461394
2026-08-31,BHO,0.0
2026-08-31,BI5,0.0
2026-08-31,BIA,236.259550027874
2026-08-31,BID,-0.9913078622662953
2026-08-31,BIG,-2.5684199621624715
2026-08-31,BIH,0.005702651065575155
2026-08-31,BIK,0.012496170287220281
2026-08-31,BIO,-8.621022968380569
2026-08-31,BIP,80.16917140147918
2026-08-31,BIS,-0.6758216101614539
2026-08-31,BIY,1.3429052093162834
2026-08-31,BJD,-9.451429119835158
2026-08-31,BKO,-42.234025523954784
2026-08-31,BKY,19.160550143267407
2026-08-31,BLA,0.0
2026-08-31,BLD,-5.29473021364548
2026-08-31,BLT,22.68919898020748
2026-08-31,BMU,-55.56592334401215
2026-08-31,BNC,-9.91815524283136
2026-08-31,BNH,5.685739262731864
2026-08-31,BOH,0.0
2026-08-31,BOL,29.55715208472866
2026-08-31,BON,-88.2465757276718
2026-08-31,BOP,4.901215394907291
2026-08-31,BOS,-0.706618978660323
2026-08-31,BP5,-67.85581783306563
2026-08-31,BPD,0.0
2026-08-31,BPZ,79.90234214725734
2026-08-31,BRB,-13.21975791853069
2026-08-31,BRC,-3.587228609200916
2026-08-31,BRF,-3.7364102678308546
2026-08-31,BRG,9.781895377191196
2026-08-31,BRH,-4.430989491138011
2026-08-31,BRR,776.081541131451
2026-08-31,BRT,-12.864068109103211
2026-08-31,BRZ,-13.700944904134873
2026-08-31,BS1,1816.0689318736352
2026-08-31,BSA,0.0
2026-08-31,BSC,-0.00010840695857788015
2026-08-31,BSD,17.726624072867285
2026-08-31,BSE,-2.3561137765965418e-06
2026-08-31,BSF,0.0
2026-08-31,BSH,21.88861010192099
2026-08-31,BSM,-6.19954521750882
2026-08-31,BSN,0.0
2026-08-31,BST,-9.873221753461703
2026-08-31,BTE,-10.80465425184376
2026-08-31,BTJ,-0.4817309487123172
2026-08-31,BTK,6.002429579989403
2026-08-31,BTP,-20.04874150602584
2026-08-31,BTY,0.0
2026-08-31,BTZ,-14.186362070853257
2026-08-31,BUB,-26.68102204614903
2026-08-31,BUC,288.9785755588434
2026-08-31,BUP,0.0
2026-08-31,BUT,-21.709040550736468
2026-08-31,BUV,-21.111346614459922
2026-08-31,BUY,-5.805061542137958
2026-08-31,BV1,1.3460299377712017
2026-08-31,BVB,0.0
2026-08-31,BVC,0.0
2026-08-31,BVD,-4.923005492407269
2026-08-31,BVF,1.3413831253318684
2026-08-31,BVH,0.0
2026-08-31,BVI,-2.4384025531645026
2026-08-31,BVK,-75.62001239151495
2026-08-31,BVM,-10.353153092941046
2026-08-31,BVT,0.0
2026-08-31,BVV,17.10629861378398
2026-08-31,BVZ,8.247186641782536
2026-08-31,BYZ,-0.002995972233371095
2026-08-31,CAH,-38.65408568541206
2026-08-31,CBD,623.9831983016315
2026-08-31,CBN,0.0
2026-08-31,CBO,0.0
2026-08-31,CEY,0.0
2026-08-31,CFO,-38.6073785489008
2026-08-31,CGD,0.0
2026-08-31,CHY,0.0379897259068444
2026-08-31,CIN,-5.732972268338127
2026-08-31,CJD,27406.690713291788
2026-08-31,CJF,-15.527332202587738
2026-08-31,CJG,0.0
2026-08-31,CJH,-2.422357426901437
2026-08-31,CKF,-2.6664026182929947
2026-08-31,CKL,-0.6322068149725193
2026-08-31,CKS,1.8545311842102643
2026-08-31,COT,0.5622364499366587
2026-08-31,CPT,-7.769872205793566
2026-08-31,CPU,11.479254868007214
2026-08-31,CRL,0.0
2026-08-31,CSD,0.0
2026-08-31,CSH,-1.1075408386649534e-06
2026-08-31,CTF,0.0
2026-08-31,CTG,0.0
2026-08-31,CTM,0.0
2026-08-31,CTP,0.0
2026-08-31,CTV,0.0
2026-08-31,CVA,0.0
2026-08-31,CVB,0.0
2026-08-31,CVC,0.0
2026-08-31,CVD,0.0
2026-08-31,CVE,0.0
2026-08-31,CVF,0.0
2026-08-31,CVK,-0.7919741839127659
2026-08-31,CVL,336.8747029935605
2026-08-31,CYD,2.4003840628148794
2026-08-31,DA1,-58.46539859408121
2026-08-31,DAC,0.0
2026-08-31,DAE,12.294799982752576
2026-08-31,DAH,-3.552451299486258
2026-08-31,DAI,-0.6068692898368324
2026-08-31,DAL,0.7890316474349091
2026-08-31,DAP,3806.1526844612404
2026-08-31,DAS,-2.8762746629151423
2026-08-31,DAT,-18.36775359937584
2026-08-31,DAV,4.332767739929171
2026-08-31,DAZ,0.0
2026-08-31,DB2,-4.388421976613374
2026-08-31,DBA,-2.580104498551007
2026-08-31,DBB,-6.683998278934503
2026-08-31,DBG,0.1287851398052439
2026-08-31,DBH,-2.8635300617998816
2026-08-31,DBK,4.076273916924148
2026-08-31,DBP,-0.11545637679332522
2026-08-31,DBZ,-4.747746744059424
2026-08-31,DCB,10.794161555986129
2026-08-31,DCD,0.0
2026-08-31,DCE,0.0
2026-08-31,DCN,204.2053165310959
2026-08-31,DCP,-0.9112861656793082
2026-08-31,DCV,-0.037354128840135746
2026-08-31,DDA,2.7353745251099553
2026-08-31,DDC,-5.281473304606093
2026-08-31,DDE,0.0
2026-08-31,DDF,22.20969536237534
2026-08-31,DDP,0.0
2026-08-31,DEF,-1.1518301585774957
2026-08-31,DEH,126.94286610735404
2026-08-31,DEI,0.0
2026-08-31,DFC,-33.521624367407135
2026-08-31,DFD,-0.4347379100031688
2026-08-31,DFI,-6.823560426009395
2026-08-31,DFO,0.24274233710737614
2026-08-31,DGF,-48.650123316226825
2026-08-31,DGH,14.977847610654027
2026-08-31,DHI,11.755507612979937
2026-08-31,DHJ,0.888064338360974
2026-08-31,DHM,-10.245582235404438
2026-08-31,DHP,0.0
2026-08-31,DHS,0.0
2026-08-31,DHT,16.150478791837493
2026-08-31,DHV,-8.04777323781387
2026-08-31,DID,1.9591613862085335
2026-08-31,DIH,0.0
2026-08-31,DIM,0.0
2026-08-31,DIP,-2.643110074418869
2026-08-31,DK1,1.306831879625311
2026-08-31,DK8,67.6000761885248
2026-08-31,DKA,0.0
2026-08-31,DKC,1.5709455965001369
2026-08-31,DKH,-2.541829377688361
2026-08-31,DKL,-1.2005389777385025
2026-08-31,DKP,-0.7287178348877016
2026-08-31,DKR,-61.10670259666361
2026-08-31,DKS,0.0
2026-08-31,DL2,-40.43381008490096
2026-08-31,DLD,2.573503181308057
2026-08-31,DLG,-1.8429662679289287
2026-08-31,DLN,50.51731427329553
2026-08-31,DLY,-8.159635143050933
2026-08-31,DLZ,2.8744223543404304
2026-08-31,DMG,-1.4557486211302546
2026-08-31,DMI,126.1040713956632
2026-08-31,DMR,0.0
2026-08-31,DMV,0.0
2026-08-31,DMZ,0.0
2026-08-31,DNA,0.0
2026-08-31,DNF,1276.7569354289221
2026-08-31,DNH,-9.134530660426504
2026-08-31,DNK,-0.4280075674168982
2026-08-31,DNL,0.0
2026-08-31,DNM,2.397277386831854
2026-08-31,DNP,91.73484783253912
2026-08-31,DNU,0.0
2026-08-31,DOC,-6.823739829650835e-05
2026-08-31,DOD,-24.098550220769596
2026-08-31,DOH,2166.087017322285
2026-08-31,DOL,11.07030707089475
2026-08-31,DOR,-0.00924739087772698
2026-08-31,DOS,0.0
2026-08-31,DOV,-0.6684099007837144
2026-08-31,DP1,0.0
2026-08-31,DP2,2.8609395224090663
2026-08-31,DP3,-0.15448538515370167
2026-08-31,DP4,-0.8970667879569728
2026-08-31,DP5,0.0
2026-08-31,DP6,-0.025098080578066867
2026-08-31,DP7,0.0
2026-08-31,DP8,0.0
2026-08-31,DP9,0.0
2026-08-31,DPB,-16.735807784799224
2026-08-31,DPC,-0.8713941574957069
2026-08-31,DPE,0.0
2026-08-31,DPG,0.0
2026-08-31,DPI,-0.269238815596519
2026-08-31,DPK,-8.34490044706321
2026-08-31,DPL,0.0
2026-08-31,DPN,0.0
2026-08-31,DPP,-74.4656789290571
2026-08-31,DPT,-3.387413641972007
2026-08-31,DPZ,0.0
2026-08-31,DRA,-1.4373190041716861
2026-08-31,DRD,-0.3253270760281363
2026-08-31,DRH,-5.8246590439178535e-06
2026-08-31,DRT,3.73435489096138
2026-08-31,DSC,0.0
2026-08-31,DSD,-22.149332066335823
2026-08-31,DSH,22.936968217457622
2026-08-31,DSP,-2.4935215716768258
2026-08-31,DSV,-69.5542074007532
2026-08-31,DTH,-0.2833014839487833
2026-08-31,DTL,-0.6942975288910493
2026-08-31,DTM,-4.497537574016261
2026-08-31,DTO,-0.022850537108666087
2026-08-31,DTP,0.0
2026-08-31,DTV,0.0
2026-08-31,DTZ,3.781755412203795
2026-08-31,DUC,0.0
2026-08-31,DUD,6.7692603808434475
2026-08-31,DUH,-105.23468355323627
2026-08-31,DUT,-0.0008733785951140911
2026-08-31,DUV,3.7938530359131235
2026-08-31,DVC,0.0
2026-08-31,DVI,0.0
2026-08-31,DVN,0.0
2026-08-31,DVO,0.0
2026-08-31,DVS,30.250221994032607
2026-08-31,DVT,-0.7423863441992503
2026-08-31,DVU,-0.24162855257656027
2026-08-31,DVZ,0.0
2026-08-31,DXP,-7.207662727618494
2026-08-31,DYJ,0.0
2026-08-31,DYN,-0.6769369177969246
2026-08-31,DYS,0.0
2026-08-31,DZ2,0.0
2026-08-31,DZE,-4.9631305117938975
2026-08-31,DZM,-15.627997152748568
2026-08-31,DZP,0.0
2026-08-31,DZS,-2.322907967303474
2026-08-31,EBD,-2.9232855343146134
2026-08-31,EBI,0.001184455967051597
2026-08-31,EBS,0.23941386407324736
2026-08-31,EC2,-3.873880731751856
2026-08-31,ECA,13.390030010187068
2026-08-31,ECB,8.452054541622873
2026-08-31,ECV,1.2834671746451631
2026-08-31,EDD,25.404980135017176
2026-08-31,EDN,22.25460036080033
2026-08-31,EDP,20.05819740178657
2026-08-31,EDT,-4.347860197425352
2026-08-31,EDU,0.021331183716520485
2026-08-31,EES,0.1834900635895008
2026-08-31,EGP,0.0
2026-08-31,EGR,12.70654914287522
2026-08-31,EHS,0.0
2026-08-31,EIB,-4.206724199117351
2026-08-31,EID,-3.6283239171561585
2026-08-31,EIL,-8.564246299847571
2026-08-31,EJG,0.0
2026-08-31,EKF,-12.815636749365009
2026-08-31,EKL,-15.787764499470324
2026-08-31,ELZ,-29.942253346941545
2026-08-31,EME,-0.05313855916748803
2026-08-31,EML,-2.977360199744642
2026-08-31,ENA,37.325332940963804
2026-08-31,ENJ,-0.7676192487541112
2026-08-31,ENO,9.765060144140419
2026-08-31,ENR,52.032914909008184
2026-08-31,ENS,5.2357601582153634
2026-08-31,EP1,17.703229153936697
2026-08-31,EPA,0.15164867646878916
2026-08-31,EPI,0.4170683178219986
2026-08-31,EPK,-10.739338120247972
2026-08-31,EPO,0.0
2026-08-31,EPP,-1.7198278755777567
2026-08-31,EPT,36.97487137025844
2026-08-31,ESG,-0.2866789160025369
2026-08-31,ESN,0.0
2026-08-31,ESP,-5.03132139132501
2026-08-31,ETN,0.002254210853458333
2026-08-31,EUN,-0.7209683725851402
2026-08-31,EUZ,0.7074848346724425
2026-08-31,EVM,9.232137713841595
2026-08-31,EYT,-2.57940018424022
2026-08-31,EZM,0.0
2026-08-31,FAK,-22.722832121914706
2026-08-31,FAL,-1.7042480936851025
2026-08-31,FBC,-3.099268478284659
2026-08-31,FBI,12.688159454037331
2026-08-31,FBN,0.00021144212182724686
