tarih,fonKodu,toplam_skor
2026-08-31,AAL,7.2368421052631575
2026-08-31,AAS,60.34482758620689
2026-08-31,AAV,40.604026845637584
2026-08-31,ABG,79.93920972644378
2026-08-31,ABJ,
2026-08-31,ABU,39.30817610062893
2026-08-31,AC1,41.139240506329116
2026-08-31,AC2,95.74468085106383
2026-08-31,AC3,47.53039513677811
2026-08-31,AC4,77.63157894736841
2026-08-31,AC5,57.52279635258359
2026-08-31,AC6,56.15501519756839
2026-08-31,AC7,9.27051671732523
2026-08-31,AC8,65.88145896656535
2026-08-31,ACC,31.879194630872483
2026-08-31,ACD,65.72327044025158
2026-08-31,ACN,46.61854103343465
2026-08-31,ACU,31.99088145896657
2026-08-31,ADE,33.33333333333333
2026-08-31,ADP,55.033557046979865
2026-08-31,AED,81.76100628930817
2026-08-31,AES,10.344827586206897
2026-08-31,AEV,
2026-08-31,AFA,64.09395973154362
2026-08-31,AFO,59.589041095890416
2026-08-31,AFS,80.53691275167785
2026-08-31,AFT,50.33557046979866
2026-08-31,AFV,43.624161073825505
2026-08-31,AGC,7.232704402515724
2026-08-31,AHH,58.548632218844986
2026-08-31,AHI,57.38255033557047
2026-08-31,AHN,48.17629179331307
2026-08-31,AHU,35.44303797468354
2026-08-31,AHV,55.172413793103445
2026-08-31,AHZ,40.229885057471265
2026-08-31,AI1,57.44680851063829
2026-08-31,AIH,
2026-08-31,AII,
2026-08-31,AIM,
2026-08-31,AIR,
2026-08-31,AIS,50.98684210526316
2026-08-31,AJ1,22.56838905775076
2026-08-31,AJE,18.693009118541035
2026-08-31,AJK,55.547112462006076
2026-08-31,AJL,18.31306990881459
2026-08-31,AJN,18.2370820668693
2026-08-31,AK2,93.67088607594937
2026-08-31,AK3,87.58389261744966
2026-08-31,AKE,28.481012658227847
2026-08-31,AKU,61.74496644295303
2026-08-31,AL4,50.474683544303794
2026-08-31,AL5,22.468354430379748
2026-08-31,AL6,50.15822784810126
2026-08-31,AL7,61.07594936708861
2026-08-31,ALC,72.48322147651007
2026-08-31,ALE,33.55263157894737
2026-08-31,AN1,58.17610062893081
2026-08-31,ANL,67.43421052631578
2026-08-31,ANZ,29.25531914893617
2026-08-31,AOJ,59.194528875379945
2026-08-31,AOY,16.442953020134226
2026-08-31,AP2,58.054711246200604
2026-08-31,AP4,74.7340425531915
2026-08-31,AP5,
2026-08-31,AP6,32.19178082191781
2026-08-31,AP7,31.610942249240125
2026-08-31,APJ,56.32183908045977
2026-08-31,APP,
2026-08-31,APT,90.50632911392405
2026-08-31,ARE,81.20805369127518
2026-08-31,ARF,
2026-08-31,ARL,32.183908045977006
2026-08-31,ARM,13.2183908045977
2026-08-31,ARP,
2026-08-31,AS1,
2026-08-31,AS3,62.5
2026-08-31,ASJ,52.348993288590606
2026-08-31,ATJ,
2026-08-31,AU1,68.4931506849315
2026-08-31,AUV,29.48328267477204
2026-08-31,AVC,35.22036474164134
2026-08-31,AVT,60.12658227848102
2026-08-31,AVZ,
2026-08-31,AY6,68.65501519756839
2026-08-31,AY7,68.27507598784194
2026-08-31,AYA,42.281879194630875
2026-08-31,AYR,33.54430379746836
2026-08-31,AZF,
2026-08-31,AZJ,76.3677811550152
2026-08-31,AZV,
2026-08-31,AZZ,
2026-08-31,BA1,81.83890577507599
2026-08-31,BAC,41.41337386018237
2026-08-31,BAG,60.0
2026-08-31,BAI,73.97260273972603
2026-08-31,BAL,
2026-08-31,BAO,
2026-08-31,BAS,
2026-08-31,BBF,62.0253164556962
2026-08-31,BBI,
2026-08-31,BBN,35.52431610942249
2026-08-31,BBO,69.64285714285714
2026-08-31,BBP,39.24050632911393
2026-08-31,BBS,78.49544072948328
2026-08-31,BCC,
2026-08-31,BCK,44.9685534591195
